# idx	fwd_accel_mG
# Type: power, 3 strokes (625 samples, 25.00s)
# Main stroke: peak=435, catch=-760, split=2:47
# Phase boundaries (sample index):
#   prev|main boundary: 388
#   main|next boundary: 469
#   catch dip: 443
#   drive start (zero-cross): 448
#   drive peak: 453
#   drive end (zero-cross): 453
0	-82
1	90
2	-46
3	46
4	-114
5	11
6	-133
7	-49
8	-53
9	-48
10	13
11	-60
12	-88
13	-20
14	-8
15	-30
16	-32
17	-63
18	-55
19	-11
20	-11
21	-45
22	15
23	24
24	22
25	80
26	12
27	15
28	73
29	34
30	97
31	52
32	127
33	-18
34	0
35	136
36	56
37	3
38	-58
39	241
40	44
41	43
42	129
43	102
44	44
45	96
46	94
47	-19
48	-17
49	100
50	-81
51	216
52	132
53	171
54	112
55	22
56	33
57	30
58	101
59	111
60	143
61	124
62	143
63	132
64	72
65	185
66	175
67	197
68	174
69	217
70	157
71	205
72	203
73	236
74	-5
75	15
76	-27
77	-145
78	3
79	58
80	16
81	-10
82	-46
83	-107
84	102
85	-58
86	7
87	-7
88	59
89	-37
90	-34
91	-9
92	-36
93	0
94	-19
95	2
96	-44
97	-43
98	-65
99	-13
100	-82
101	84
102	-9
103	73
104	-37
105	74
106	23
107	-9
108	37
109	3
110	60
111	-18
112	92
113	20
114	60
115	60
116	145
117	-18
118	95
119	66
120	16
121	168
122	10
123	64
124	-400
125	-395
126	-133
127	-261
128	-35
129	21
130	57
131	90
132	148
133	123
134	128
135	80
136	5
137	92
138	87
139	97
140	102
141	101
142	92
143	89
144	87
145	37
146	17
147	42
148	-10
149	61
150	45
151	14
152	-30
153	-72
154	-36
155	-9
156	-103
157	-24
158	-56
159	-38
160	2
161	-3
162	-21
163	-30
164	3
165	-2
166	3
167	6
168	0
169	-12
170	-3
171	0
172	-36
173	-11
174	-85
175	50
176	-19
177	-31
178	-7
179	-37
180	31
181	-18
182	-2
183	20
184	-85
185	167
186	3
187	-17
188	36
189	50
190	-3
191	97
192	76
193	-2
194	63
195	83
196	78
197	151
198	119
199	-678
200	-688
201	-882
202	-574
203	-652
204	-527
205	-360
206	-305
207	-242
208	-237
209	-160
210	-14
211	93
212	171
213	133
214	166
215	165
216	201
217	-86
218	215
219	146
220	22
221	71
222	43
223	87
224	263
225	234
226	226
227	230
228	150
229	138
230	102
231	67
232	22
233	18
234	21
235	74
236	7
237	34
238	-5
239	42
240	-45
241	-38
242	-37
243	-37
244	-127
245	49
246	48
247	-32
248	18
249	33
250	6
251	-66
252	38
253	0
254	12
255	-40
256	40
257	28
258	-64
259	-58
260	66
261	-62
262	2
263	23
264	20
265	16
266	37
267	44
268	72
269	48
270	73
271	2
272	73
273	69
274	-416
275	-400
276	-608
277	-372
278	-558
279	-764
280	-599
281	-647
282	-481
283	-383
284	-439
285	-390
286	-266
287	-239
288	-159
289	-116
290	-51
291	109
292	196
293	155
294	245
295	137
296	76
297	-29
298	68
299	212
300	267
301	277
302	279
303	324
304	292
305	284
306	234
307	195
308	115
309	109
310	72
311	34
312	22
313	-2
314	-46
315	71
316	21
317	-34
318	-65
319	-134
320	-44
321	-116
322	-86
323	80
324	-13
325	-37
326	8
327	22
328	17
329	-118
330	-17
331	-1
332	-49
333	-36
334	-51
335	1
336	6
337	-22
338	-20
339	-54
340	47
341	76
342	-50
343	44
344	9
345	0
346	51
347	52
348	79
349	-46
350	-74
351	-137
352	-292
353	-314
354	-408
355	-463
356	-605
357	-646
358	-678
359	-782
360	-690
361	-523
362	-345
363	-433
364	-348
365	-271
366	-244
367	-192
368	-123
369	-2
370	101
371	204
372	159
373	167
374	271
375	196
376	156
377	180
378	200
379	259
380	284
381	325
382	304
383	306
384	296
385	273
386	213
387	138
388	38
389	22
390	4
391	-50
392	0
393	93
394	52
395	-71
396	-51
397	14
398	-144
399	-102
400	-37
401	-6
402	-29
403	-32
404	3
405	-17
406	-58
407	-41
408	-13
409	44
410	-90
411	-35
412	-46
413	13
414	-47
415	35
416	-68
417	-17
418	-57
419	67
420	0
421	-31
422	25
423	15
424	35
425	81
426	13
427	-4
428	17
429	-17
430	-72
431	16
432	-27
433	-12
434	-127
435	-232
436	-419
437	-472
438	-371
439	-511
440	-639
441	-630
442	-614
443	-760
444	-682
445	-690
446	-458
447	-355
448	-197
449	317
450	301
451	354
452	430
453	435
454	359
455	320
456	232
457	237
458	198
459	311
460	373
461	367
462	322
463	370
464	352
465	337
466	251
467	111
468	51
469	-75
470	-45
471	-109
472	28
473	-65
474	-34
475	-34
476	-22
477	-11
478	-6
479	-72
480	-2
481	-36
482	8
483	16
484	-100
485	-40
486	-16
487	-29
488	-52
489	6
490	-78
491	4
492	13
493	-54
494	-106
495	106
496	-186
497	73
498	-186
499	68
500	90
501	59
502	159
503	121
504	79
505	60
506	86
507	-3
508	25
509	-99
510	-62
511	-201
512	-211
513	-325
514	-414
515	-405
516	-419
517	-680
518	-599
519	-619
520	-720
521	-575
522	-832
523	-568
524	141
525	47
526	132
527	135
528	141
529	176
530	199
531	190
532	192
533	187
534	211
535	234
536	226
537	181
538	206
539	161
540	183
541	145
542	180
543	100
544	94
545	27
546	81
547	72
548	80
549	-33
550	-11
551	26
552	22
553	24
554	-121
555	31
556	-11
557	-54
558	28
559	-33
560	0
561	7
562	-32
563	-54
564	-79
565	-75
566	-57
567	-25
568	-12
569	-21
570	-30
571	-50
572	-14
573	-23
574	69
575	83
576	79
577	84
578	118
579	126
580	131
581	103
582	126
583	90
584	132
585	116
586	81
587	22
588	1
589	-1
590	-81
591	-197
592	-294
593	-382
594	-463
595	-444
596	-502
597	-772
598	-595
599	91
600	80
601	51
602	-17
603	15
604	88
605	88
606	128
607	172
608	170
609	196
610	186
611	161
612	166
613	222
614	224
615	208
616	231
617	251
618	245
619	257
620	282
621	313
622	347
623	335
624	0
